File accession	File format	Output type	Assay term name	Dataset accession	Annotation type	Software used	Encyclopedia Version	Biosample term id	Biosample term name	Biosample type	Life stage	Age	Age units	Organism	Targets	Dataset date released	Project	Lab	md5sum	dbxrefs	File download URL	Assembly	Controlled by	File Status	Derived from	S3 URL	Azure URL	Size	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF152AFP	bed bed9+	candidate Cis-Regulatory Elements		ENCSR557MSF	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Mus musculus		2022-02-15	ENCODE	Zhiping Weng, UMass	0a598b49369d497dba9f960725fe4531		https://www.encodeproject.org/files/ENCFF152AFP/@@download/ENCFF152AFP.bed.gz	mm10		released	/files/ENCFF095AEF/	https://encode-public.s3.amazonaws.com/2021/12/08/818d9e36-3aab-4e35-bd97-36d420475d1d/ENCFF152AFP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/12/08/818d9e36-3aab-4e35-bd97-36d420475d1d/ENCFF152AFP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	4533120			
ENCFF954ZED	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR557MSF	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Mus musculus		2022-02-15	ENCODE	Zhiping Weng, UMass	3341a5f1f2a68b1167d47364a7d035e4		https://www.encodeproject.org/files/ENCFF954ZED/@@download/ENCFF954ZED.bigBed	mm10		released	/files/ENCFF152AFP/	https://encode-public.s3.amazonaws.com/2021/12/08/adb9c173-b27a-45dc-a1fb-0758407e569f/ENCFF954ZED.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/12/08/adb9c173-b27a-45dc-a1fb-0758407e569f/ENCFF954ZED.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	9269988			
ENCFF935DDY	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR412JVQ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0012489	muscle layer of colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	43e4cd659b256e3ecd9086c7dc3ad8d7		https://www.encodeproject.org/files/ENCFF935DDY/@@download/ENCFF935DDY.bigBed	GRCh38		released	/files/ENCFF360RXI/	https://encode-public.s3.amazonaws.com/2021/09/20/c23b3d20-1025-4b41-9c9f-469430727370/ENCFF935DDY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/c23b3d20-1025-4b41-9c9f-469430727370/ENCFF935DDY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35977038			
ENCFF360RXI	bed bed9+	candidate Cis-Regulatory Elements		ENCSR412JVQ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0012489	muscle layer of colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	97a642c7bc7c74207dcacd28c96c6319		https://www.encodeproject.org/files/ENCFF360RXI/@@download/ENCFF360RXI.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/20/536e1a2f-29fc-4e03-b5c6-b891ab134fa4/ENCFF360RXI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/536e1a2f-29fc-4e03-b5c6-b891ab134fa4/ENCFF360RXI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15155168			
ENCFF024PQS	bed bed9+	candidate Cis-Regulatory Elements		ENCSR073QUR	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	50f3258e14ce349809ed78e1d1e181b9		https://www.encodeproject.org/files/ENCFF024PQS/@@download/ENCFF024PQS.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/0cde2030-d524-4e22-96e0-931c4aaffc32/ENCFF024PQS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/0cde2030-d524-4e22-96e0-931c4aaffc32/ENCFF024PQS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15089475			
ENCFF778PTM	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR073QUR	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	28b628d10d51dd068283dff6879a54c9		https://www.encodeproject.org/files/ENCFF778PTM/@@download/ENCFF778PTM.bigBed	GRCh38		released	/files/ENCFF024PQS/	https://encode-public.s3.amazonaws.com/2021/10/25/1e5063e1-0b19-4a42-9a21-4f24cf05967f/ENCFF778PTM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/1e5063e1-0b19-4a42-9a21-4f24cf05967f/ENCFF778PTM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27613862			
ENCFF025KEO	bed bed9+	candidate Cis-Regulatory Elements		ENCSR389UFY	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	a06fc5bbe85718f6ad2a6cde345f00da		https://www.encodeproject.org/files/ENCFF025KEO/@@download/ENCFF025KEO.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/39813926-7629-4939-8b20-d46f180ef8e7/ENCFF025KEO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/39813926-7629-4939-8b20-d46f180ef8e7/ENCFF025KEO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15089992			
ENCFF850JRQ	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR389UFY	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	52e6a44f28145eb422994db60acb4fa8		https://www.encodeproject.org/files/ENCFF850JRQ/@@download/ENCFF850JRQ.bigBed	GRCh38		released	/files/ENCFF025KEO/	https://encode-public.s3.amazonaws.com/2021/10/25/60ed3982-e8c5-4e1a-ac8e-9fe05b6c3e3d/ENCFF850JRQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/60ed3982-e8c5-4e1a-ac8e-9fe05b6c3e3d/ENCFF850JRQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27611983			
ENCFF318JTT	bed bed9+	candidate Cis-Regulatory Elements		ENCSR696WQN	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0008971	left colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	b85f97f9850e0a94f9de1ce6cf80b23c		https://www.encodeproject.org/files/ENCFF318JTT/@@download/ENCFF318JTT.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/e57e5cd6-41c2-425c-904a-646d988de882/ENCFF318JTT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/e57e5cd6-41c2-425c-904a-646d988de882/ENCFF318JTT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15056653			
ENCFF187RLW	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR696WQN	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0008971	left colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	3b174d82cef27936a696e4b4a14cfd64		https://www.encodeproject.org/files/ENCFF187RLW/@@download/ENCFF187RLW.bigBed	GRCh38		released	/files/ENCFF318JTT/	https://encode-public.s3.amazonaws.com/2021/10/25/61364083-0e96-4997-ac4b-42a07bdbbe01/ENCFF187RLW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/61364083-0e96-4997-ac4b-42a07bdbbe01/ENCFF187RLW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27591143			
ENCFF466PWQ	bed bed9+	candidate Cis-Regulatory Elements		ENCSR328EZS	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	0653a7fc5f71647813b17059e5ad1f30		https://www.encodeproject.org/files/ENCFF466PWQ/@@download/ENCFF466PWQ.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/0dbd281d-1f26-4cbc-ba57-e33cc846e51a/ENCFF466PWQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/0dbd281d-1f26-4cbc-ba57-e33cc846e51a/ENCFF466PWQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15316100			
ENCFF057KVE	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR328EZS	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	12ed932394bfc8322855acb161cdc86d		https://www.encodeproject.org/files/ENCFF057KVE/@@download/ENCFF057KVE.bigBed	GRCh38		released	/files/ENCFF466PWQ/	https://encode-public.s3.amazonaws.com/2021/10/25/85aba75e-4c8b-4f4e-81e1-975b7767c6dc/ENCFF057KVE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/85aba75e-4c8b-4f4e-81e1-975b7767c6dc/ENCFF057KVE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	36180259			
ENCFF715SJC	bed bed9+	candidate Cis-Regulatory Elements		ENCSR735GNP	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	c7807a84426d8fc0a67ddf1a0e1cbfed		https://www.encodeproject.org/files/ENCFF715SJC/@@download/ENCFF715SJC.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/777ad6e5-afcc-4920-bec6-3bba0714c34e/ENCFF715SJC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/777ad6e5-afcc-4920-bec6-3bba0714c34e/ENCFF715SJC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15079161			
ENCFF118IPF	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR735GNP	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	d8af96df6c0458b53e9b22af1afb8be9		https://www.encodeproject.org/files/ENCFF118IPF/@@download/ENCFF118IPF.bigBed	GRCh38		released	/files/ENCFF715SJC/	https://encode-public.s3.amazonaws.com/2021/10/25/22b26706-12d1-433a-a039-c218d1f4d98e/ENCFF118IPF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/22b26706-12d1-433a-a039-c218d1f4d98e/ENCFF118IPF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27602844			
ENCFF316MRH	bed bed9+	candidate Cis-Regulatory Elements		ENCSR830QVV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000317	colonic mucosa	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	9617c1320add17d776381f6ab2dcbfcf		https://www.encodeproject.org/files/ENCFF316MRH/@@download/ENCFF316MRH.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/069cfc13-4096-4669-a1c0-82beaa7995a3/ENCFF316MRH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/069cfc13-4096-4669-a1c0-82beaa7995a3/ENCFF316MRH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15182724			
ENCFF163GCV	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR830QVV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000317	colonic mucosa	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	7677410a53076b075e791e38887b6f28		https://www.encodeproject.org/files/ENCFF163GCV/@@download/ENCFF163GCV.bigBed	GRCh38		released	/files/ENCFF316MRH/	https://encode-public.s3.amazonaws.com/2021/10/25/87e23dea-9651-4020-8a02-24412815283b/ENCFF163GCV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/87e23dea-9651-4020-8a02-24412815283b/ENCFF163GCV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	36020733			
ENCFF954AFR	bed bed9+	candidate Cis-Regulatory Elements		ENCSR103FRM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0008971	left colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	ebe40aa7d1aecc3b8d5ceed5e4a2a35e		https://www.encodeproject.org/files/ENCFF954AFR/@@download/ENCFF954AFR.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/20/d0c70553-fc82-4a40-930b-67af0d9f4b4e/ENCFF954AFR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/d0c70553-fc82-4a40-930b-67af0d9f4b4e/ENCFF954AFR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15043177			
ENCFF046TXU	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR103FRM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0008971	left colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	c80eed3c9be7949d8bb80f7f4f7c4296		https://www.encodeproject.org/files/ENCFF046TXU/@@download/ENCFF046TXU.bigBed	GRCh38		released	/files/ENCFF954AFR/	https://encode-public.s3.amazonaws.com/2021/09/20/14705cb4-3236-45b4-bd98-e96b0df5b339/ENCFF046TXU.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/14705cb4-3236-45b4-bd98-e96b0df5b339/ENCFF046TXU.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27574302			
ENCFF937AZG	bed bed9+	candidate Cis-Regulatory Elements		ENCSR811EFU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	e6d7214c869fc6ed8517bc1d084f9ec0		https://www.encodeproject.org/files/ENCFF937AZG/@@download/ENCFF937AZG.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/b5b52e91-cc5b-4035-9aa4-65013c2975c1/ENCFF937AZG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/b5b52e91-cc5b-4035-9aa4-65013c2975c1/ENCFF937AZG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15089661			
ENCFF488QJI	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR811EFU	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	748aad16924777e8dc8dfdd2500e0a51		https://www.encodeproject.org/files/ENCFF488QJI/@@download/ENCFF488QJI.bigBed	GRCh38		released	/files/ENCFF937AZG/	https://encode-public.s3.amazonaws.com/2021/10/25/a2fc2d7d-6f54-479b-9e67-ba56a4b9df42/ENCFF488QJI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/a2fc2d7d-6f54-479b-9e67-ba56a4b9df42/ENCFF488QJI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	36024101			
ENCFF582GTV	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR116DCM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	98946ed44ddb7d2addd3599fd56ec870		https://www.encodeproject.org/files/ENCFF582GTV/@@download/ENCFF582GTV.bigBed	GRCh38		released	/files/ENCFF632LJU/	https://encode-public.s3.amazonaws.com/2021/10/25/6b5f8f99-2935-44f8-8a0b-fe29809b50a1/ENCFF582GTV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/6b5f8f99-2935-44f8-8a0b-fe29809b50a1/ENCFF582GTV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27546161			
ENCFF632LJU	bed bed9+	candidate Cis-Regulatory Elements		ENCSR116DCM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	50e596bdd8e9657126e0db8ff33f3d0a		https://www.encodeproject.org/files/ENCFF632LJU/@@download/ENCFF632LJU.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/63d56aa9-2647-4108-9cdc-dbd68530b78b/ENCFF632LJU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/63d56aa9-2647-4108-9cdc-dbd68530b78b/ENCFF632LJU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	14997268			
ENCFF931ZNP	bed bed9+	candidate Cis-Regulatory Elements		ENCSR371LBI	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-15	ENCODE	Zhiping Weng, UMass	1740e88613d6cae19cb1f70d0f43996f		https://www.encodeproject.org/files/ENCFF931ZNP/@@download/ENCFF931ZNP.bed.gz	mm10		released	/files/ENCFF095AEF/	https://encode-public.s3.amazonaws.com/2021/12/08/86a56317-1e25-4e52-888a-78978febe352/ENCFF931ZNP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/12/08/86a56317-1e25-4e52-888a-78978febe352/ENCFF931ZNP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	4577943			
ENCFF479RIY	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR371LBI	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000160	intestine	tissue				Mus musculus		2022-02-15	ENCODE	Zhiping Weng, UMass	03243bdf780408be6f8daa0fd2d12ec6		https://www.encodeproject.org/files/ENCFF479RIY/@@download/ENCFF479RIY.bigBed	mm10		released	/files/ENCFF931ZNP/	https://encode-public.s3.amazonaws.com/2021/12/08/b0bb0643-7fb7-4ce7-a0d0-986c4f912c9f/ENCFF479RIY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/12/08/b0bb0643-7fb7-4ce7-a0d0-986c4f912c9f/ENCFF479RIY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	9368538			
ENCFF045ZQC	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR417SFM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	2f2b9c863d659634ed479b0ce0ae3711		https://www.encodeproject.org/files/ENCFF045ZQC/@@download/ENCFF045ZQC.bigBed	GRCh38		released	/files/ENCFF350NWA/	https://encode-public.s3.amazonaws.com/2021/10/25/0dd76c7c-6139-4f9b-a989-97fa3bc64530/ENCFF045ZQC.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/0dd76c7c-6139-4f9b-a989-97fa3bc64530/ENCFF045ZQC.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27571677			
ENCFF350NWA	bed bed9+	candidate Cis-Regulatory Elements		ENCSR417SFM	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	32ae8e2b7209555f8a8efeb52eb4b714		https://www.encodeproject.org/files/ENCFF350NWA/@@download/ENCFF350NWA.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/8a93a69d-6a44-4b30-9218-a009a79251f2/ENCFF350NWA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/8a93a69d-6a44-4b30-9218-a009a79251f2/ENCFF350NWA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15026134			
ENCFF186HRJ	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR884ABV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	7e3ab934612c7db65151291b7e5a018d		https://www.encodeproject.org/files/ENCFF186HRJ/@@download/ENCFF186HRJ.bigBed	GRCh38		released	/files/ENCFF424YXV/	https://encode-public.s3.amazonaws.com/2021/10/25/994190c0-4321-4745-9050-7f2d82c67903/ENCFF186HRJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/994190c0-4321-4745-9050-7f2d82c67903/ENCFF186HRJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35960538			
ENCFF424YXV	bed bed9+	candidate Cis-Regulatory Elements		ENCSR884ABV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	0ccb50f9f641695e1e5fdc8222884ef0		https://www.encodeproject.org/files/ENCFF424YXV/@@download/ENCFF424YXV.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/559008f0-81b4-4de7-8e8b-ac7a546d2a2a/ENCFF424YXV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/559008f0-81b4-4de7-8e8b-ac7a546d2a2a/ENCFF424YXV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15033295			
ENCFF224CJA	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR364HRH	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	6652be3ade7f2b32f6f49cd2a0472a6e		https://www.encodeproject.org/files/ENCFF224CJA/@@download/ENCFF224CJA.bigBed	GRCh38		released	/files/ENCFF164RLV/	https://encode-public.s3.amazonaws.com/2021/10/25/704e2fc4-587c-448b-b289-444c49e90852/ENCFF224CJA.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/704e2fc4-587c-448b-b289-444c49e90852/ENCFF224CJA.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35906921			
ENCFF164RLV	bed bed9+	candidate Cis-Regulatory Elements		ENCSR364HRH	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001157	transverse colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	a42cce9835145cadd6464093a3495dfb		https://www.encodeproject.org/files/ENCFF164RLV/@@download/ENCFF164RLV.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/f6431ad1-95e0-4b41-bcce-128ed7c24b0d/ENCFF164RLV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/f6431ad1-95e0-4b41-bcce-128ed7c24b0d/ENCFF164RLV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	14998832			
ENCFF095SMO	bed bed9+	candidate Cis-Regulatory Elements		ENCSR267EIV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	2c98987ca6db44d46f8e52bccd1b02d6		https://www.encodeproject.org/files/ENCFF095SMO/@@download/ENCFF095SMO.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/20/a0c9169e-9d21-49c1-b541-540a4f06adee/ENCFF095SMO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/a0c9169e-9d21-49c1-b541-540a4f06adee/ENCFF095SMO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15086330			
ENCFF028NAN	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR267EIV	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0004992	mucosa of descending colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	00e511e3208737998d20dd53b9cc5292		https://www.encodeproject.org/files/ENCFF028NAN/@@download/ENCFF028NAN.bigBed	GRCh38		released	/files/ENCFF095SMO/	https://encode-public.s3.amazonaws.com/2021/09/20/d43f49e8-2ef5-44e8-a254-9493924e7539/ENCFF028NAN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/d43f49e8-2ef5-44e8-a254-9493924e7539/ENCFF028NAN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27608776			
